특성명,IV,AUC,다중공선성경고
이해관계자_불신지수,2.2053082808482243,0.8581346779177609,True
신용등급점수,1.6641543543442867,0.823048805109738,True
연체심각도,1.0323728000792458,0.6911811559280916,False
순부채비율,0.22326156853045637,0.5433322466748949,False
부채레버리지,0.2100288741435063,0.6215169194540688,True
이자부담률,0.1753101843406069,0.6114273253231388,False
이자보상배율,0.14312953703460668,0.41472897999101743,False
매출채권_이상지표,0.14234735343046714,0.5700913714711866,True
유동성압박지수,0.1252321700467107,0.585848829736376,False
부채상환년수,0.1168842120505088,0.45604493407659064,False
즉각지급능력,0.10821797272800773,0.4626202223063115,False
운전자본비율,0.10513357628645179,0.46886442264197536,False
재고회전율,0.10473120728241078,0.4304737659327007,False
판관비효율성,0.09934942709300808,0.41823262292234176,False
OCF_대_유동부채,0.09032222637590853,0.4423115379013926,False
재고보유일수,0.0898562566749401,0.5658324527006195,False
매출집중도,0.08391808739240893,0.4290278886494454,False
긴급유동성,0.08358668177757855,0.43954597074231094,False
매출채권회전율,0.0815451589627923,0.4730235569116995,False
총발생액,0.07072262930919415,0.45712864546310994,False
운전자본,0.06717110001986253,0.43332442251980663,False
운전자본_대_자산,0.06304632531055743,0.4468022557057338,False
현금창출능력,0.053630069392872834,0.4449028003316559,False
현금소진일수,0.04678386111522269,0.47412596868258955,False
공공정보리스크,0.042174586319430066,0.39976154598703145,False
현금흐름품질,0.02373074119820797,0.47240412677295984,False
